address1,address2,aging,anti_discrimination_human_rights,arts_culture,bbl,bin,borough,bronx,brooklyn,business,census_tract,child_care_parent_information,city,community_board,community_council,community_service_volunteerism,counseling_support_groups,description,disabilities,domestic_violence,education,employment_job_training,faith_based_organization,fax,foundation,health,homelessness,housing,immigration,is_registered_with_the_attorney_general_s_office,latitude,legal_services,lesbian_gay_bisexual_and_or_transgender,location_1,longitude,manhattan,new_york_city_agency,none_of_the_above,nonprofit,nourl,nta,organizationname,other_government_organization,outsideloc,outsidelocdesc,personal_finance_financial_education,phone,postcode,professional_association,published,queens,staten_island,url,veterans_military_families,victim_services,youth_services
103 President Street,,N,N,N,3003420045,3004465,BROOKLYN ,N,Y,N,51,N,Brooklyn,6,39,N,N,"For more than 60 years, we in AMVETS have taken to heart the credo of service set forth by our organizationâ€™s founding fathers. In so doing, we endeavor to provide our fellow veterans with the type of support they truly deserve. This outreach effort takes many forms, from the professional advice our service officers offer on earned veterans benefits to our legislative efforts on Capitol Hill to the work done by our hospital volunteers. Other AMVETS members involve themselves in a range of initiatives aimed at contributing to the quality of life in their local communities. 

These two areasâ€”veterans service and community serviceâ€”drive the commitment we have to make a difference in the lives of others. The pages of this website provide more detailed information on each area, as well as a wealth of information for veterans, their families and other interested citizens. Please take a few minutes to review what makes AMVETS the distinctive organization it is. Our aim of building for a better America is an undertaking to which all can contribute.",N,N,N,N,N,,N,N,N,N,N,N,40.683555,N,N,"{'latitude': '40.683555', 'needs_recoding': False, 'longitude': '-74.002708'}",-74.002708,N,N,N,Y,N,Carroll Gardens-Columbia Street-Red Hook                                   ,Amvets,N,N,,N,7187881792,11231,N,Published,N,N,http://www.amvets-ny.com,Y,N,N
,,N,Y,N,,,,Y,Y,N,,N,New York,,,N,N,"The Equal Employment Practices Commission was created by the New York City Charter as an independent agency responsible for monitoring the equal employment practices, programs, policies, and procedures of all City agencies that are funded in whole or in part by the City. Its duties include the following: to review the standards, procedures, and programs of the Department of Personnel and every City agency's affirmative employment plan; to provide equal employment opportunity for minority group members and women employed by, or seeking employment with, City agencies; to recommend to City agencies procedures, standards, and programs to be utilized to ensure fair and effective employment; to audit and evaluate the employment practices and procedures of each City agency at least once every four years and whenever requested by the Civil Service Commission or the Human Rights Commission; to Establish a compliance procedure - not to exceed six months - to monitor the implementation of all audit recommendations; to hold public and private hearings, compel the attendance of witnesses, and administer oaths; to establish appropriate advisory committees; to publish a report to the mayor - where appropriate - and recommend the corrective action an agency should take in order to comply with Equal Employment Opportunity requirements. The Equal Employment Practices Commission is not authorized to investigate individual complaints of employment discrimination.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Equal Employment Practices Commission,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/eepc/html/home/home.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,The Landmarks Preservation Commission is the New York City agency that is responsible for identifying and designating the City's landmarks and the buildings in the City's historic districts. The Commission also regulates changes to designated buildings. The agency consists of eleven Commissioners and a full-time staff.,N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Landmarks Preservation Commission,N,N,,N,2126399675,,N,Published,Y,Y,,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,The Commission advises the Mayor on business development and retention strategies for the Latin media and entertainment industry.,N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Latin Media and Entertainment Commission,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/lmec/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The Mayor's Office of Veterans' Affairs (MOVA) was established by local law 53 in 1987. MOVA advises the Mayor on issues and initiatives impacting the veteran and military community. MOVA works with the U.S. Department of Veterans Affairs (VA), the New York State Division of Veterans Affairs (NYSDVA), City Agencies, veteran's organizations and other stakeholders to offer services to veterans, their dependents and survivors; while encouraging innovative partnerships to ensure creative problem solving.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Mayor's Office fo Veterans' Affairs,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/vets/html/home/home.shtml,Y,N,N
,,Y,Y,Y,,,,Y,Y,N,,N,New York,,,N,N,"The Mayor's Office for People with Disabilities works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities. We have developed a number of informative brochures and directories that detail programs, services, activities, and other resources that are accessible to people with disabilities. In addition, we work with organizations on specific issues affecting people with disabilities, and arrange activities and events that aim to bring about dialog that leads to meaningful outcomes.",Y,N,N,Y,N,,N,Y,N,N,N,N,,Y,N,,,Y,Y,N,N,N,,Mayor's Office for People with Disabilities,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/mopd/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"To promote the welfare of blinded veterans so that, notwithstanding their disabilities, they may take their rightful place in the community and work with their fellow citizens toward the creation of a peaceful world.

To preserve and strengthen a spirit of fellowship among blinded veterans so that they may give mutual aid and assistance to one another.

To maintain and extend the institution of American freedom and encourage loyalty to the Constitution and laws of the United States and of the states in which they reside.",Y,N,N,N,N,6173035571,N,N,N,N,N,N,,N,N,,,Y,N,N,Y,N,,Blinded Veterans Association,N,Y,"Main Location: Washington, D.C. ",N,6173035691,,N,Published,Y,Y,http://www.bva.org/,Y,N,N
,,N,Y,Y,,,,Y,Y,N,,N,New York,,,N,N,"Building on its Charter mandate, the Mayor's Office of Immigrant Affairs promotes the well-being of immigrant communities by recommending policies and programs that facilitate successful integration of immigrant New Yorkers into the civic, economic, and cultural life of the City.",N,N,N,N,N,,N,N,N,N,Y,N,,N,N,,,Y,Y,N,N,N,,Mayor's Office of Immigrant Affairs,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/imm/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,Y,,N,New York,,,N,N,"Protecting and promoting our industrial sector is crucial to the city's overall economic development. In January 2005, Mayor Bloomberg created the Office of Industrial and Manufacturing Businesses to retain and grow the sector's job base, execute the goals of the industrial policy, and serve as a single point of coordination for the industrial and manufacturing sector. The sector provides close to 500,000 jobs in New York City, making up nearly 15% of the city's workforce, and contributed $1.7 billion in tax revenues in 2004. The manufacturing and industrial sector is not only a strong component of our economy but a reliable source of jobs for many of our fellow New Yorkers. More than half of the employees in the industrial sector have a high school diploma or less and nearly a fifth have limited English proficiency. New York City is a strategic location to operate an industrial business. The unparalleled concentration of residents, businesses, economic activity, and wealth creates a tremendous end market for the industrial sector. Every employer praises the New York City workforce for its unparalleled diversity, depth of talent, commitment, and proactive attitude. Despite these advantages, challenges remain for the sector. Space to expand or relocate is expensive and scarce, operating costs are high, and there is a perception that the overall business environment presents obstacles. Our Office has begun to address these issues. Our Office broadened the Commercial Expansion Program to create benefits especially for industrial and manufacturing businesses that rent their spaces. In early 2006 our Office created 16 Industrial Business Zones across the City where expanded business services are available for industrial and manufacturing businesses. A relocation tax credit of $1,000 per employee is offered for manufacturing and industrial businesses that choose to relocate within the Industrial Business Zones.ï¿½ Moreover, the zones represent areas where the Bloomberg Administration guarantees it will prohibit any new residential development. And State tax credits are also available to qualified businesses located in certain Industrial Business Zones as a result of the recent reconfiguration of the New York City's Empire Zones. Our Office intends to see these initiatives grow and better serve the cityï¿½s industrial and manufacturing businesses. We encourage you to explore this site to learn more. Please contact us to let us know how we can help you.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Mayor's Office of Industrial and Manufacturing Business,N,N,,N,,,N,Published,Y,Y,http://www.nyc.gov/html/imb/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,Y,N,"The Mayor's Volunteer Center of New York City, a program of the Mayor's Community Affairs Unit, brings together individuals, corporations, government agencies and nonprofit organizations to connect people and facilitate meaningful volunteer opportunities that improve the quality of life in New York City. Its goal is to make every New Yorker a volunteer. Throughout the year, the Mayorï¿½s Volunteer Center promotes and organizes thousands of volunteer opportunities in partnership with community organizations and nonprofits in all five boroughs. Our mission is to provide the resources that enable every New Yorker to become a volunteer.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Mayor's Volunteer Center,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/mvc/html/home/home.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"Parks & Recreation is the steward of more than 29,000 acres of land 14 percent of New York City including more than 4,000 individual properties ranging from Yankee Stadium and Central Park to community gardens and Greenstreets. We operate more than 800 athletic fields and nearly 1,000 playgrounds; we manage five major stadia, 550 tennis courts, 54 public pools, 51 recreational facilities, 15 nature centers, 13 golf courses, and 14 miles of beaches; we care for 1,200 monuments and 22 historic house museums; we look after 600,000 street trees, and two million more in parks. We are New York City's principal provider of athletic facilities. We are home to free concerts, world-class sports events, and cultural festivals.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,Y,N,N,N,,New York City Department of Parks & Recreation,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nycgovparks.org/,N,N,N
,,N,N,N,,,,Y,Y,Y,,N,New York,,,N,N,"The Department of Small Business Services (SBS) makes it easier for businesses in New York City to form, do business, and grow by providing direct assistance to business owners, fostering neighborhood development in commercial districts, and linking employers to a skilled and qualified workforce.",N,N,N,Y,N,,N,N,N,N,N,N,,Y,N,,,Y,Y,N,N,N,,New York City Department of Small Business Services,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/sbs/html/home/home.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,Y,New York,,,Y,N,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming.ï¿½Our central task is administering available City, state, and federal funds to effective community-based organizations.ï¿½Selected organizations must be in touch with the needs of the people they serve, devoted to the highest principles of community service, and committed to sound fiscal management.",N,N,Y,Y,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,New York City Department of Youth and Community Development,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/dycd/html/home/home.shtml,N,N,Y
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"The New York City Housing Authority (NYCHA) provides decent and affordable housing in a safe and secure living environment for low and moderate- income residents throughout the five boroughs. To fulfill this mission, NYCHA must preserve its aging housing stock through timely maintenance and modernization of its developments. NYCHA also administers a citywide Section 8 Leased Housing Program in rental apartments. Simultaneously, we work to enhance the quality of life at NYCHA by offering our residents opportunities to participate in a multitude of community, educational and recreational programs, as well as job readiness and training initiatives.",N,N,Y,Y,N,,N,N,N,Y,N,N,,N,N,,,Y,Y,N,N,N,,New York City Housing Authority,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/nycha/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The NYC Rent Guidelines Board (RGB) is mandated to establish rent adjustments for the approximately one million dwelling units subject to the Rent Stabilization Law in New York City. The Board holds an annual series of public meetings and hearings to consider research from staff, and testimony from owners, tenants, advocacy groups and industry experts. The RGB staff is responsible for providing administrative support to the Board and prepares research regarding the economic condition of the stabilized residential real estate industry including operating and maintenance costs, the cost of financing, housing supply and cost of living indices. The RGB staff engages in year-round research efforts, publishes its reports for use by the public, other governmental agencies and private organizations, and provides information to the public on housing questions.",N,N,N,N,N,,N,N,N,Y,N,N,,N,N,,,Y,Y,N,N,N,,New York City Rent Guidelines Board,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/rgb/home.html,N,N,N
,,N,N,N,,,,Y,Y,Y,,Y,New York,,,N,N,"The New York City Administration for Children's Services protects New York City's children from abuse and neglect. Along with our community partners, Children's Services provides neighborhood-based services to help ensure children grow up in safe, permanent homes with strong families.",N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Children's Services,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/acs/html/home/home.shtml,N,N,Y
,,N,N,N,,,,Y,Y,Y,,N,New York,,,N,N,"In November 2001, a charter revision measure created the Organized Crime Control Commission, which was later renamed the Business Integrity Commission (BIC), to consolidate under one agency the regulatory jurisdiction over the private carting industry, businesses operating in the City's public wholesale markets, and the shipboard gambling industry. Previously, the trade waste industry was regulated by the Trade Waste Commission; the Fulton Fish Market, other seafood distribution areas, and the public wholesale markets were under the purview of the Department of Small Business Services; and shipboard gambling was regulated by the Gambling Control Commission.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Business Integrity Commission,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/bic/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,Y,,N,New York,,,N,N,"NYC Business Solutions is committed to helping businesses start, operate, and expand in New York City. Regardless of the size or stage of your business, we can help you access services that meet your needs as you continue to grow and expand.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Business Solutions,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/sbs/nycbiz/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,Y,,Y,New York,,,N,N,"The Center for Economic Opportunity (CEO) was established by Mayor Bloomberg on December 18, 2006 to implement innovative ways to reduce poverty in New York City. .ï¿½ The CEO works with City agencies to design and implement evidence-based initiatives aimed at poverty reduction, and manages an Innovation Fund through which it provides City agencies annual funding to implement such initiatives. CEO oversees a rigorous evaluation of each program to determine which are successful in demonstrating results towards reducing poverty and increasing self-sufficiency among New Yorkers. The CEO is led by Executive Director Veronica White and reports directly to Deputy Mayor Linda Gibbs. Along with its partner agencies, the Center will continue to put into action the recommendations that have been made by the Commission for Economic Opportunity.",Y,N,Y,Y,N,,N,N,N,N,Y,N,,N,N,,,Y,Y,N,N,N,,NYC Center for Economic Opportunity,N,N,,Y,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/ceo/html/home/home.shtml,N,N,Y
,,Y,Y,N,,,,Y,Y,Y,,Y,New York,,,N,N,"The New York City Human Rights Law is one of the most comprehensive civil rights laws in the nation. The Law prohibits discrimination in employment, housing and public accommodations based on race, color, creed, age, national origin, alienage or citizenship status, gender (including gender identity and sexual harassment), sexual orientation, disability, marital status, and partnership status. In addition, the Law affords protection against discrimination in employment based on arrest or conviction record and status as a victim of domestic violence, stalking and sex offenses. In housing, the Law affords additional protections based on lawful occupation, family status, and any lawful source of income. The City Human Rights Law also prohibits retaliation and bias-related harassment.",Y,Y,Y,N,N,,N,N,N,Y,Y,N,,Y,Y,,,Y,Y,N,N,N,,NYC Commission on Human Rights,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/cchr/home.html,N,Y,Y
,,Y,N,Y,,,,Y,Y,N,,N,New York,,,Y,Y,"If you are a New Yorker, 60 and over, important areas of your life could well be enhanced by options offered through the Department for the Aging. 

There are choices that help toward more independence and challenges for greater productivity.  For example, you may be eligible for exemption from a rent increase; you may need a home-delivered meal or home care services; or you may seek employment that is rewarding.

You may want to volunteer your services to others, join a local senior center, or participate in a Department event.

Or maybe you just need solid answers to some vital questions from a reliable source.

The Department for the Aging's Web site lists programs and services tailored to a variety of specific needs that many of the 1.3 million older New Yorkers may want now or in the future.",Y,N,Y,N,N,,N,Y,Y,Y,Y,N,,Y,N,,,Y,Y,N,N,N,,NYC Department for the Aging,N,N,,Y,2126399675,,N,Published,Y,Y,http://nyc.gov/html/dfta/html/home/home.shtml,N,Y,N
,,N,N,N,,,,Y,Y,Y,,N,New York,,,N,N,"DCA conducts all of its efforts with a single purpose: To ensure that consumers and businesses benefit from a fair and vibrant marketplaceï¿½ We do that by: MEDIATING and RESOLVING consumer complaints; LICENSING 55 categories of businesses and maintaining high standards of fairness and public accountability; ENFORCING the City's landmark Consumer Protection Law, and other related City and State laws; EDUCATING New Yorkers about their rights as consumers and responsibilities as businesses; LITIGATING against rule-breaking businesses. These combined efforts efficiently and effectively protect New York consumers.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Department of Consumer Affairs,N,N,,Y,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/dca/html/home/home.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"The New York City Department of Cultural Affairs (DCLA) is dedicated to supporting and strengthening New York City's vibrant cultural life. Among our primary missions is to ensure adequate public funding for non-profit cultural organizations, both large and small, throughout the five boroughs. DCLA also works to promote and advocate for quality arts programming and to articulate the contribution made by the cultural community to the City's economic vitality. The Department represents and serves non-profit cultural organizations involved in the visual, literary and performing arts; public-oriented science and humanities institutions including zoos, botanical gardens and historic and preservation societies; and creative artists at all skill levels who live and work within the City's five boroughs. Through its Materials for the Arts Program, DCLA provides free supplies for use in arts programs offered by non-profit groups and New York City public schools. DCLA has also changed the physical landscape of New York City through its Percent for Art program by commissioning more than 180 works of art by some of the world's leading artists at public building sites throughout the city.",N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Department of Cultural Affairs,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/dcla/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,Y,New York,,,N,N,"Mayor Bloomberg and Schools Chancellor Klein launched Children First, a new vision for New York City public schools, in 2003. Through Children First, the Mayor and Chancellor sought to fundamentally transform the school system they inherited in 2002 when the State Legislature granted the Mayor control of the school system. They aimed to transform a system that had allowed generations of students to leave school without the skills and knowledge they needed to succeed, turning it into a system of 1,400-plus excellent schools, capable of helping the Cityï¿½s 1.1 million school children learn the skills and receive the support they deserve and need to succeed. Mayor Bloomberg and Chancellor Klein believe education reform requires a comprehensive and integrated plan, involving changes in strategy, leadership, management, people, and programming. Three inter-related principles are the driving forces behind the Children First reforms: leadership, empowerment, and accountability. Schools need strong leaders who are empowered to make decisions and who are accountable for results.",N,N,Y,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Department of Education,N,N,,N,2126399675,,N,Published,Y,Y,http://schools.nyc.gov/default.htm,N,N,Y
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,,N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Department of Health and Mental Hygiene,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/doh/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The Department of Homeless Services was established in 1993 and made an independent Mayoral agency in 1999. Since its inception, the work of DHS and its nonprofit partners has primarily focused on providing safe shelter, outreach services and, over the last few years, helping individuals and families transition to permanent housing.",N,N,N,N,N,,N,N,Y,Y,N,N,,N,N,,,Y,Y,N,N,N,,NYC Department of Homelessness Services,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/dhs/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The New York City Department of Housing Preservation and Development (HPD) is the largest municipal developer of affordable housing in the nation. Since 1987, HPD has provided over $6.3 billion to support the repair, rehabilitation and new construction of hundreds of thousands of units of housing. This administration's housing agenda, The New Housing Marketplace: Creating Housing for the Next Generation, is the largest investment in the City's housing stock in 20 years. It is a $7.5 billion plan to create and preserve more than 165,000 homes and apartments in neighborhoods over ten years",N,N,N,N,N,,N,N,N,Y,N,N,,N,N,,,Y,Y,N,N,N,,NYC Department of Housing Preservation and Development,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/hpd/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,Y,,N,New York,,,N,N,"We oversee transportation and infrastructure projects that make transit within the Tri-state region more efficient.Â  To help improve the distribution of goods within and outside the five boroughs, NYCEDC manages the redevelopment of the City's rail freight lines, food markets, and maritime and aviation facilities. For companies seeking a new location, NYCEDC promotes the City's central business districts.Â  When appropriate, we sell or lease vacant City-owned property throughout the five boroughs, often in corporate and industrial parks.Â  We also encourage projects that strategically use underutilized property for economic development purposes. NYCEDC can support redevelopment projects by conducting planning and feasibility studies, performing financial analyses, guiding projects through necessary public approvals and packaging City programs and incentives. Our incentive programs can help eligible businesses meet their financing needs for property acquisition, new equipment, renovation, working capital and other purposes through the use of low-cost tax-exempt bonds.Â  Double and triple tax-exempt revenue bonds are issued by the New York City Industrial Development Agency, an entity administered by NYCEDC, for various types of organizations and transactions.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Economic Development Corporation,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nycedc.com/Web,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The New York City Health and Hospitals Corporation (HHC), the largest municipal hospital and health care system in the country, is a $5.4 billion public benefit corporation that serves 1.3 million New Yorkers and nearly 400,000 who are uninsured. HHC provides medical, mental health and substance abuse services through its 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and more than 80 community based clinics. HHC Health and Home Care also provides health services at home for New Yorkers.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Health and Hospitals Corporation,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/hhc/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"At the Information Technology Jobs Center for the City of New York you will find lists of available technology jobs. If you are interested in a one or more of the jobs posted, please make sure that you: Review the Civil Service qualifications, responsibilities, as well as skill sets necessary to perform the job(s); and submit your resume in the prescribed format required in the job flyer, and to the address noted in the job flyer.",N,N,N,Y,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Information Technology Jobs Center,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/recruit/home.html,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"As the first film commission in the country, the Mayorâ€™s Office of Film, Theatre & Broadcasting understands production needs. Whether you are shooting a feature, a commercial, television show, documentary or a student film, we are your partner during production. We are a one-stop permitting agency, delivering free permits, public locations and police assistance. We provide liaison at all major public and private locations, labor relations assistance, arrangement of site surveys, and our tax incentives will shrink your budget.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,"NYC Mayor's Office of Film, Theatre and Broadcasting",N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/film/html/index/index.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"NYC Media Group, formed in early 2005, is the entity responsible for managing and programming the City of New York's media assets and forms an integral part of New York City's Department of Information Technology and Telecommunications. NYC Media Group oversees one broadcast television station reaching approximately 7.3 million households, five New York City cable television networks reaching approximately 1.8 million households each, one full power FM radio station (WNYE 91.5FM), and its Emmy award-winning production company, NYC TV Original Productions. As the premier outlet for New York City based programming, NYC Media Group is redefining the role of media in government. NYC Media Group is headed by its General Manager, Arick Wierson.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Media Group,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/nycmg/html/home/home.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,"Established in 1898 as the Art Commission, New York City's design review agency was renamed the Design Commission in July 2008 to better reflect its mission. The Design Commission reviews permanent works of art, architecture and landscape architecture proposed on or over City-owned property. Projects include construction, renovation or restoration of buildings, such as museums and libraries; creation or rehabilitation of parks and playgrounds; installation of lighting and other streetscape elements; and design, installation and conservation of artwork.",N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Public Design Commission,N,N,,N,2126399675,,N,Published,Y,Y,http://nyc.gov/html/artcom/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The Office of Chief Medical Examiner of the City of New York (OCME)was established in 1918 pursuant to a 1915 Act of the New York State Legislature. In addition to being the first governmental agency of its type in the United States, OCME established the first toxicology laboratory in 1918 and the first serology laboratory in 1938, both at Bellevue Hospital in Manhattan. In 1933, New York University established the first Department of Forensic Medicine in the country. Since that date, Medical Examiners at OCME have held faculty positions in NYU's Forensic Medicine department. OCME's administrative offices were in the Municipal Building from 1918 to 1934, and at 125 Worth Street from 1934 to 1960; autopsies were performed at Bellevue Hospital and other borough municipal hospitals during those years. In 1960, OCME's six-story headquarters at 520 First Avenue (northeast corner of First Avenue and 30th Street) opened on land provided by New York University, adjacent to NYU Medical Center. In 1968 the Institute of Forensic Medicine of New York University and the City of New York was created; in 1977 the Institute was named after the late Milton Helpern, Chief Medical Examiner from 1954 to 1973. The Institute is comprised of OCME, the New York University School of Medicine, and the New York University College of Dentistry. OCME's headquarters at 520 First Avenue houses executive offices, the mortuary, autopsy rooms, X-Ray/photography facilities, as well as toxicology and histology laboratories. In February 2007, OCME opened the OCME DNA Building located at 421 East 26 Street (east of First Avenue), which houses state of the art Forensic Biology laboratories, as well as OCMEï¿½s Administrative unit and Evidence facilities including a forensic garage to examine vehicles for forensic evidence.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC Office of the Chief Medical Examiner,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/ocme/html/home/home.shtml,N,N,N
,,N,N,Y,,,,Y,Y,N,,N,New York,,,N,N,,N,N,N,N,N,,N,N,N,N,N,N,,N,N,,,Y,Y,N,N,N,,NYC TV,N,N,,N,,,N,Published,Y,Y,http://www.nyc.gov/html/nycmg/nyctv/html/home/home.shtml,N,N,N
,,N,N,N,,,,Y,Y,N,,N,New York,,,N,N,"The mission of the Human Resources Administration's Office of Citywide Health Insurance Access (OCHIA) is to expand access to health insurance for all New Yorkers. The office has two key priorities: first, to ensure that uninsured New Yorkers who are eligible for public health insurance programs such as Child Health Plus, Family Health Plus and Medicaid are enrolled and, second, to expand access to affordable health insurance for the City's small businesses, sole proprietors and working individuals.",N,N,N,N,N,,N,Y,N,N,N,N,,N,N,,,Y,Y,N,N,N,,Office of Citywide Health Insurance Access,N,N,,N,2126399675,,N,Published,Y,Y,http://www.nyc.gov/html/hia/html/home/home.shtml,N,N,N
455 5th Ave,,Y,N,N,1008690074,1017602,MANHATTAN,Y,N,N,82,N,New York,5,4,Y,N,"NYPL's Office of Adult Programs and Outreach offers free education services to adults who are learning English and ABE (Adult Basic Education) literacy instruction. These programs are held in branch libraries throughout the Bronx, Manhattan and Staten Island. Classes are held in instructional cycles. Detailed information can be found on the website at www.nypl.org
Additional services include citizenship classes, services to seniors, assistive technology, library events in languages other than English, services to pre-release and ex-inmates.
Volunteers are integral to the Adult Literacy Program. Extensive training and support is provided. Contact Kenneth English, Literacy Director for more information, 212 340-0924.

A pilot Young Adult Literacy Program is now offered at two Bronx library locations serving students age 16-24 who are neither in school or employed. Contact Shawanda Williams, Site Advisor, at 718 401-7453, for more information.",Y,N,Y,N,N,2123400988,N,N,N,N,Y,N,40.752003,N,N,"{'latitude': '40.752003', 'needs_recoding': False, 'longitude': '-73.981954'}",-73.981954,Y,N,N,Y,N,Murray Hill-Kips Bay                                                       ,The New York Public Library,N,N,,N,2123400918,10016,N,Published,N,Y,http://www.nypl.org,N,N,Y
